zipcode,district,location,age,m2,rooms,energie,rent
20095,Hamburg-Altstadt,gut,1961,218,6,F,11.36
20095,Hamburg-Altstadt,gut,1992,31,1,D,12.37
20095,Hamburg-Altstadt,gut,1998,59,3,C,13.6
20095,Hamburg-Altstadt,gut,1969,148,5,E,10.75
20095,Hamburg-Altstadt,gut,1962,196,6,F,9.94
20095,Hamburg-Altstadt,gut,1956,17,1,F,9.91
20095,Hamburg-Altstadt,gut,1988,197,6,D,8.22
20095,Hamburg-Altstadt,gut,1915,58,2,G,9.83
20095,Hamburg-Altstadt,gut,1941,20,1,G,9.91
20095,Hamburg-Altstadt,gut,1965,135,5,F,12.01
20095,Hamburg-Altstadt,gut,2002,136,5,C,13.82
20095,Hamburg-Altstadt,gut,1928,26,1,G,9.3
20095,Hamburg-Altstadt,gut,1974,61,3,D,9.26
20095,Hamburg-Altstadt,gut,1933,54,2,G,10.38
20095,Hamburg-Altstadt,gut,1924,191,6,G,11.38
20095,Hamburg-Altstadt,gut,1979,181,6,D,15.8
20095,Hamburg-Altstadt,gut,2013,116,4,B,14.24
20095,Hamburg-Altstadt,gut,1912,77,3,G,13.21
20095,Hamburg-Altstadt,gut,1959,38,1,F,10.51
20095,Hamburg-Altstadt,gut,1995,207,6,C,12.84
20095,Hamburg-Altstadt,gut,1984,134,5,D,14.03
20095,Hamburg-Altstadt,gut,1982,30,1,D,12.04
20095,Hamburg-Altstadt,gut,1988,73,3,D,10.82
20095,Hamburg-Altstadt,gut,1968,59,3,E,8.43
20095,Hamburg-Altstadt,gut,1916,61,3,G,13.71
20095,Hamburg-Altstadt,gut,1966,159,5,E,13.36
20095,Hamburg-Altstadt,gut,1963,44,2,F,8.05
20095,Hamburg-Altstadt,gut,1974,164,6,D,11.95
20095,Hamburg-Altstadt,gut,1945,111,4,G,13.96
20095,Hamburg-Altstadt,gut,1973,110,4,D,12.74
20095,Hamburg-Altstadt,gut,1991,83,3,D,8.84
20095,Hamburg-Altstadt,gut,1998,36,1,C,14.25
20095,Hamburg-Altstadt,gut,1934,46,2,G,11.38
20095,Hamburg-Altstadt,gut,2012,21,1,B,11.01
20095,Hamburg-Altstadt,gut,1925,50,2,G,8.54
20095,Hamburg-Altstadt,gut,1917,196,6,G,11.79
20095,Hamburg-Altstadt,gut,1971,34,1,E,11.07
20095,Hamburg-Altstadt,gut,1989,19,1,D,14.2
20095,Hamburg-Altstadt,gut,1933,50,2,G,10.4
20095,Hamburg-Altstadt,gut,1959,183,6,F,13.53
20095,Hamburg-Altstadt,gut,1999,170,6,C,13.22
20095,Hamburg-Altstadt,gut,1930,141,5,G,12.91
20095,Hamburg-Altstadt,gut,2019,72,3,A,11.72
20095,Hamburg-Altstadt,gut,1987,185,6,D,8.71
20095,Hamburg-Altstadt,gut,1921,168,6,G,10.78
20095,Hamburg-Altstadt,gut,2016,203,6,A,15.88
20095,Hamburg-Altstadt,gut,1950,75,3,G,12.13
20095,Hamburg-Altstadt,gut,2018,158,5,A,19.09
20095,Hamburg-Altstadt,gut,1956,151,5,F,14.45
20095,Hamburg-Altstadt,gut,1972,213,6,E,12.41
20095,Hamburg-Altstadt,gut,1971,66,3,E,11.7
20095,Hamburg-Altstadt,gut,1992,97,4,D,10.72
20095,Hamburg-Altstadt,gut,1969,91,4,E,13.23
20095,Hamburg-Altstadt,gut,2006,204,6,C,11.89
20095,Hamburg-Altstadt,gut,1990,198,6,D,11.72
20095,Hamburg-Altstadt,gut,1930,40,2,G,9.42
20095,Hamburg-Altstadt,gut,1979,150,5,D,14.32
20097,St. Georg,gut,1956,134,5,F,14.13
20097,St. Georg,gut,1950,102,4,G,13.84
20097,St. Georg,gut,1978,116,4,D,12.87
20097,St. Georg,gut,2006,55,2,C,12.95
20097,St. Georg,gut,2000,200,6,C,14.75
20097,St. Georg,gut,1932,90,4,G,13.18
20097,St. Georg,gut,1940,153,5,G,11.08
20097,St. Georg,gut,1992,191,6,D,11.84
20097,St. Georg,gut,1934,142,5,G,10.88
20097,St. Georg,gut,1932,103,4,G,10.7
20097,St. Georg,gut,2003,204,6,C,12.55
20097,St. Georg,gut,1947,30,1,G,12.39
20097,St. Georg,gut,2000,198,6,C,15.26
20097,St. Georg,gut,2017,129,5,A,13.12
20097,St. Georg,gut,1948,195,6,G,10.1
20097,St. Georg,gut,1934,215,6,G,11.99
20097,St. Georg,gut,2007,130,5,C,15.62
20097,St. Georg,gut,1921,150,5,G,11.53
20097,St. Georg,gut,1951,105,4,G,9.38
20097,St. Georg,gut,1950,219,6,G,14.61
20097,St. Georg,gut,1914,91,4,G,11.16
20097,St. Georg,gut,1986,41,2,D,12.18
20097,St. Georg,gut,1943,34,1,G,10.0
20099,Hamburg-Altstadt,gut,2018,197,6,A,19.84
20099,Hamburg-Altstadt,gut,2005,23,1,C,12.09
20099,Hamburg-Altstadt,gut,1975,181,6,D,10.27
20099,Hamburg-Altstadt,gut,2004,15,1,C,14.59
20099,Hamburg-Altstadt,gut,1953,56,2,G,11.11
20099,Hamburg-Altstadt,gut,1923,175,6,G,11.82
20099,Hamburg-Altstadt,gut,1918,51,2,G,12.09
20099,Hamburg-Altstadt,gut,1945,130,5,G,10.56
20099,Hamburg-Altstadt,gut,2009,184,6,C,12.06
20099,Hamburg-Altstadt,gut,1947,160,5,G,10.38
20099,Hamburg-Altstadt,gut,1914,194,6,G,13.06
20099,Hamburg-Altstadt,gut,1972,39,1,E,12.03
20099,Hamburg-Altstadt,gut,1984,221,6,D,15.39
20099,Hamburg-Altstadt,gut,1962,183,6,F,9.05
20099,Hamburg-Altstadt,gut,1974,188,6,D,13.06
20099,Hamburg-Altstadt,gut,1970,47,2,E,11.19
20099,Hamburg-Altstadt,gut,1999,176,6,C,13.99
20099,Hamburg-Altstadt,gut,1938,119,4,G,12.89
20099,Hamburg-Altstadt,gut,1928,220,6,G,11.18
20099,Hamburg-Altstadt,gut,2016,134,5,A,18.31
20099,Hamburg-Altstadt,gut,1941,152,5,G,12.87
20099,Hamburg-Altstadt,gut,1927,46,2,G,10.51
20099,Hamburg-Altstadt,gut,1935,214,6,G,12.04
20099,Hamburg-Altstadt,gut,1939,111,4,G,11.67
20099,Hamburg-Altstadt,gut,2015,63,3,B,11.83
20099,Hamburg-Altstadt,gut,1974,80,3,D,11.2
20099,Hamburg-Altstadt,gut,1940,31,1,G,11.51
20099,Hamburg-Altstadt,gut,1938,108,4,G,12.94
20144,Eimsbüttel,gut,1988,115,4,D,9.52
20144,Eimsbüttel,gut,1965,126,5,F,12.24
20144,Eimsbüttel,gut,2016,27,1,A,16.05
20144,Eimsbüttel,gut,1983,80,3,D,12.44
20144,Eimsbüttel,gut,2011,108,4,B,15.89
20144,Eimsbüttel,gut,1919,207,6,G,11.71
20144,Eimsbüttel,gut,1967,20,1,E,11.79
20144,Eimsbüttel,gut,2010,143,5,B,13.49
20144,Eimsbüttel,gut,1920,56,2,G,9.93
20144,Eimsbüttel,gut,2008,85,3,C,14.12
20144,Eimsbüttel,gut,1927,147,5,G,13.17
20144,Eimsbüttel,gut,1962,160,5,F,9.22
20144,Eimsbüttel,gut,1914,87,3,G,13.91
20144,Eimsbüttel,gut,1949,46,2,G,10.61
20144,Eimsbüttel,gut,1913,18,1,G,13.9
20144,Eimsbüttel,gut,1968,153,5,E,13.41
20144,Eimsbüttel,gut,1973,145,5,D,13.39
20144,Eimsbüttel,gut,2000,196,6,C,14.1
20144,Eimsbüttel,gut,1987,99,4,D,10.78
20144,Eimsbüttel,gut,1943,173,6,G,11.78
20144,Eimsbüttel,gut,2021,63,3,A,12.96
20144,Eimsbüttel,gut,1989,15,1,D,14.27
20144,Eimsbüttel,gut,2019,148,5,A,21.15
20144,Eimsbüttel,gut,1993,65,3,C,9.74
20144,Eimsbüttel,gut,1926,210,6,G,10.12
20144,Eimsbüttel,gut,2020,129,5,A,14.59
20144,Eimsbüttel,gut,1933,203,6,G,12.3
20144,Eimsbüttel,gut,1949,47,2,G,12.1
20144,Eimsbüttel,gut,1960,168,6,F,12.95
20144,Eimsbüttel,gut,1951,74,3,G,9.72
20144,Eimsbüttel,gut,1964,204,6,F,10.63
20144,Eimsbüttel,gut,1978,180,6,D,13.18
20144,Eimsbüttel,gut,1914,201,6,G,13.06
20144,Eimsbüttel,gut,1959,153,5,F,13.02
20144,Eimsbüttel,gut,1979,133,5,D,10.71
20144,Eimsbüttel,gut,1946,63,3,G,10.84
20144,Eimsbüttel,gut,1958,136,5,F,14.61
20144,Eimsbüttel,gut,1967,139,5,E,12.45
20144,Eimsbüttel,gut,1910,174,6,G,14.19
20144,Eimsbüttel,gut,1925,97,4,G,11.31
20144,Eimsbüttel,gut,2015,191,6,B,14.76
20144,Eimsbüttel,gut,1910,117,4,G,9.87
20144,Eimsbüttel,gut,2022,65,3,A,15.67
20144,Eimsbüttel,gut,1942,80,3,G,10.58
20144,Eimsbüttel,gut,1921,171,6,G,13.24
20144,Eimsbüttel,gut,1990,196,6,D,8.16
20144,Eimsbüttel,gut,2010,196,6,B,14.82
20144,Eimsbüttel,gut,2012,165,6,B,18.86
20144,Eimsbüttel,gut,2015,96,4,B,12.56
20144,Eimsbüttel,gut,1976,152,5,D,11.69
20144,Eimsbüttel,gut,1912,204,6,G,13.54
20144,Eimsbüttel,gut,1987,151,5,D,10.63
20144,Eimsbüttel,gut,2021,163,6,A,15.64
20144,Eimsbüttel,gut,1934,41,2,G,11.5
20144,Eimsbüttel,gut,1987,37,1,D,15.05
20144,Eimsbüttel,gut,1958,133,5,F,14.19
20144,Eimsbüttel,gut,1972,30,1,E,10.34
20144,Eimsbüttel,gut,1921,112,4,G,13.77
20144,Eimsbüttel,gut,1928,191,6,G,10.94
20144,Eimsbüttel,gut,2005,219,6,C,15.33
20144,Eimsbüttel,gut,2007,99,4,C,11.89
20144,Eimsbüttel,gut,1935,194,6,G,11.69
20144,Eimsbüttel,gut,1957,138,5,F,14.68
20144,Eimsbüttel,gut,1926,23,1,G,9.81
20144,Eimsbüttel,gut,1972,221,6,E,12.28
20144,Eimsbüttel,gut,1938,124,4,G,11.45
20144,Eimsbüttel,gut,1956,28,1,F,10.33
20144,Eimsbüttel,gut,1969,161,6,E,9.82
20144,Eimsbüttel,gut,1986,129,5,D,12.52
20144,Eimsbüttel,gut,1927,89,4,G,13.46
20144,Eimsbüttel,gut,1944,124,4,G,10.25
20144,Eimsbüttel,gut,2010,88,4,B,11.38
20144,Eimsbüttel,gut,1986,89,4,D,11.65
20144,Eimsbüttel,gut,1939,104,4,G,10.84
20144,Eimsbüttel,gut,2007,41,2,C,12.96
20146,Harvestehude,gut,1953,86,3,G,9.52
20146,Harvestehude,gut,1955,162,6,G,14.43
20146,Harvestehude,gut,1954,192,6,G,12.98
20146,Harvestehude,gut,1965,30,1,F,12.11
20146,Harvestehude,gut,1974,216,6,D,13.06
20146,Harvestehude,gut,1942,218,6,G,12.05
20146,Harvestehude,gut,2002,200,6,C,13.18
20146,Harvestehude,gut,2019,151,5,A,21.26
20146,Harvestehude,gut,1916,47,2,G,10.02
20146,Harvestehude,gut,1985,15,1,D,10.8
20146,Harvestehude,gut,1932,137,5,G,13.54
20146,Harvestehude,gut,1966,56,2,E,11.32
20146,Harvestehude,gut,1983,20,1,D,10.79
20146,Harvestehude,gut,1994,44,2,C,10.79
20146,Harvestehude,gut,2023,172,6,A,17.76
20146,Harvestehude,gut,2011,113,4,B,13.08
20146,Harvestehude,gut,1948,193,6,G,12.67
20146,Harvestehude,gut,1919,63,3,G,11.99
20146,Harvestehude,gut,1976,147,5,D,11.72
20146,Harvestehude,gut,1990,195,6,D,8.99
